admin2Name_en;admin2RefName;SenDist_en;admin1Name_en;admin0Name_en;validOn
Etsako West;Etsako West;Edo North;Edo;Nigeria;17/04/2019
Etung;Etung;Cross River Central;Cross River;Nigeria;17/04/2019
Ewekoro;Ewekoro;Ogun Central;Ogun;Nigeria;17/04/2019
Ezeagu;Ezeagu;Enugu West;Enugu;Nigeria;17/04/2019
Ezinihitte;Ezinihitte;Imo East;Imo;Nigeria;17/04/2019
Ezza North;Ezza North;Ebonyi Central;Ebonyi;Nigeria;17/04/2019
Ezza South;Ezza South;Ebonyi Central;Ebonyi;Nigeria;17/04/2019
Fagge;Fagge;Kano Central;Kano;Nigeria;17/04/2019
Fakai;Fakai;Kebbi South;Kebbi;Nigeria;17/04/2019
Faskari;Faskari;Katsina South;Katsina;Nigeria;17/04/2019
Fika;Fika;Yobe South;Yobe;Nigeria;17/04/2019
Fufore;Fufore;Adamawa Central;Adamawa;Nigeria;17/04/2019
Funakaye;Funakaye;Gombe North;Gombe;Nigeria;17/04/2019
Fune;Fune;Yobe South;Yobe;Nigeria;17/04/2019
Funtua;Funtua;Katsina South;Katsina;Nigeria;17/04/2019
Gabasawa;Gabasawa;Kano North;Kano;Nigeria;17/04/2019
Gada;Gada;Sokoto East;Sokoto;Nigeria;17/04/2019
Gagarawa;Gagarawa;Jigawa North-West;Jigawa;Nigeria;17/04/2019
Gamawa;Gamawa;Bauchi North;Bauchi;Nigeria;17/04/2019
Ganjuwa;Ganjuwa;Bauchi Central;Bauchi;Nigeria;17/04/2019
Ganye;Ganye;Adamawa South;Adamawa;Nigeria;17/04/2019
Garki;Garki;Jigawa North-West;Jigawa;Nigeria;17/04/2019
Garko;Garko;Kano South;Kano;Nigeria;17/04/2019
Garum Mallam;Garum Mallam;Kano Central;Kano;Nigeria;17/04/2019
Gashaka;Gashaka;Taraba Central;Taraba;Nigeria;17/04/2019
Gassol;Gassol;Taraba Central;Taraba;Nigeria;17/04/2019
Gaya;Gaya;Kano South;Kano;Nigeria;17/04/2019
Gbako;Gbako;Niger South;Niger;Nigeria;17/04/2019
Gboko;Gboko;Benue North West;Benue;Nigeria;17/04/2019
Geidam;Geidam;Yobe East;Yobe;Nigeria;17/04/2019
Gezawa;Gezawa;Kano Central;Kano;Nigeria;17/04/2019
Giade;Giade;Bauchi North;Bauchi;Nigeria;17/04/2019
Girei;Girei;Adamawa Central;Adamawa;Nigeria;17/04/2019
Giwa;Giwa;Kaduna Central;Kaduna;Nigeria;17/04/2019
Gokana;Gokana;Rivers South East;Rivers;Nigeria;17/04/2019
Gombe;Gombe;Gombe North;Gombe;Nigeria;17/04/2019
Gombi;Gombi;Adamawa Central;Adamawa;Nigeria;17/04/2019
Goronyo;Goronyo;Sokoto East;Sokoto;Nigeria;17/04/2019
Gubio;Gubio;Borno North;Borno;Nigeria;17/04/2019
Gudu;Gudu;Sokoto North;Sokoto;Nigeria;17/04/2019
Gujba;Gujba;Yobe East;Yobe;Nigeria;17/04/2019
Gulani;Gulani;Yobe East;Yobe;Nigeria;17/04/2019
Guma;Guma;Benue North West;Benue;Nigeria;17/04/2019
Gumel;Gumel;Jigawa North-West;Jigawa;Nigeria;17/04/2019
Gummi;Gummi;Zamfara West;Zamfara;Nigeria;17/04/2019
Gurara;Gurara;Niger East;Niger;Nigeria;17/04/2019
Guri;Guri;Jigawa North-East;Jigawa;Nigeria;17/04/2019
Gusau;Gusau;Zamfara Central;Zamfara;Nigeria;17/04/2019
Guyuk;Guyuk;Adamawa South;Adamawa;Nigeria;17/04/2019
Guzamala;Guzamala;Borno North;Borno;Nigeria;17/04/2019
Gwadabawa;Gwadabawa;Sokoto East;Sokoto;Nigeria;17/04/2019
Gwagwalada;Gwagwalada;Federal Capital Territory;Federal Capital Territory;Nigeria;17/04/2019
Gwale;Gwale;Kano Central;Kano;Nigeria;17/04/2019
Gwandu;Gwandu;Kebbi Central;Kebbi;Nigeria;17/04/2019
Gwaram;Gwaram;Jigawa South-West;Jigawa;Nigeria;17/04/2019
Gwarzo;Gwarzo;Kano North;Kano;Nigeria;17/04/2019
Gwer East;Gwer East;Benue North West;Benue;Nigeria;17/04/2019
